219 categories and their parents:
  OST_TrussDummy <none>
  OST_ZoneSchemes <none>
  OST_AreaSchemes <none>
  OST_Areas --> Areas (-2003200
  OST_ProjectInformation --> Project Information (-2003101
  OST_Sheets --> Sheets (-2003100
  OST_ProfileFamilies <none>
  OST_DetailComponents --> Detail Items (-2002000
  OST_RoofSoffit --> Roof Soffits (-2001393
  OST_EdgeSlab --> Slab Edges (-2001392
  OST_Gutter --> Gutters (-2001391
  OST_Fascia --> Fascias (-2001390
  OST_Entourage --> Entourage (-2001370
  OST_Planting --> Planting (-2001360
  OST_StructuralStiffenerTags --> Structural Stiffener Tags (-2001355
  OST_StructuralStiffener --> Structural Stiffeners (-2001354
  OST_FootingAnalyticalGeometry --> Analytical Model (-2001353
  OST_RvtLinks <none>
  OST_Automatic <none>
  OST_SpecialityEquipment --> Specialty Equipment (-2001350
  OST_ColumnAnalyticalRigidLinks --> Rigid Links (-2001344
  OST_SecondaryTopographyContours --> Secondary Contours (-2001343
  OST_TopographyContours --> Primary Contours (-2001342
  OST_TopographySurface --> Triangulation Edges (-2001341
  OST_Topography --> Topography (-2001340
  OST_StructuralTruss --> Structural Trusses (-2001336
  OST_StructuralColumnStickSymbols --> Stick Symbols (-2001335
  OST_HiddenStructuralColumnLines --> Hidden Lines (-2001334
  OST_AnalyticalRigidLinks --> Rigid Links (-2001333
  OST_ColumnAnalyticalGeometry --> Analytical Model (-2001332
  OST_FramingAnalyticalGeometry --> Analytical Model (-2001331
  OST_StructuralColumns --> Structural Columns (-2001330
  OST_HiddenStructuralFramingLines --> Hidden Lines (-2001329
  OST_KickerBracing --> Kicker Bracing (-2001328
  OST_StructuralFramingSystem --> Structural Beam Systems (-2001327
